loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_2ership,annual_inc,verification_status,purpose,title,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,verification_status_joint,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,target
11000,11000,11000,1,0.1691,272.85,2,10,0,97000,0,0,0,28.79,0,1,15,30642,0.317,32,1,10882.15,10882.15,190.18,190.18,117.85,72.33,0,210.85,0,0,-1,0,578672,1,2,2,2,7,60555,92,1,2,10081,44,96700,4,2,9,5,38578,61687,32.5,160,202,9,4,7,9,4,0,8,10,10,12,10,12,15,10,15,0,0,4,100,30,650969,91197,91400,65615,0,1
11500,11500,11500,0,0.1356,390.59,2,8,1,33000,1,0,0,2.55,0,0,5,2600,0.2,12,1,11500,11500,0,0,0,0,0,0,0,0,-1,0,2600,0,0,0,0,110,0,,0,1,0,20,13000,1,2,0,1,520,,,110,94,20,20,0,,20,1,0,2,0,1,1,5,10,2,5,0,0,0,91.7,,13000,2600,0,0,1,1
22000,22000,22000,0,0.0881,697.66,0,5,0,165000,1,0,0,15.59,0,4,12,13866,0.464,46,1,21463.86,21463.86,676.12,676.12,536.14,139.98,0,697.66,0,0,-1,0,328164,3,4,2,4,6,58474,74,4,4,5767,66,29900,2,1,8,8,29833,14342,48.8,156,163,3,3,1,10,0,0,4,5,4,12,23,7,22,5,12,0,0,6,100,50,383210,72340,28000,79364,1,1
19200,19200,19200,1,0.1797,487.25,3,9,2,85000,0,0,0,39.11,4,1,19,23528,0.283,53,1,19000.27,19000.27,439.33,439.33,199.73,239.6,0,487.25,0,0,-1,0,295780,3,5,2,5,1,82969,85,1,3,16212,59,83000,2,1,2,10,17399,32314,41.6,140,196,1,1,2,1,0,2,3,5,6,16,16,13,33,5,19,0,2,3,94.2,0,381538,106497,55300,97303,1,1
40000,40000,40000,1,0.118,885.75,1,5,1,130000,0,0,0,17.88,0,0,15,35414,0.783,16,1,39507.58,39507.58,833.31,833.31,492.42,340.89,0,885.75,0,0,-1,0,67686,1,2,1,1,6,32272,70,1,3,7054,74,45200,0,0,1,4,4512,4340,82.7,55,209,12,6,0,12,4,0,5,12,6,6,2,13,14,12,15,0,0,2,100,83.3,91038,67686,25100,45838,1,1
8000,8000,8000,0,0.0646,245.05,0,10,0,55000,1,1,1,17.83,0,0,12,10999,0.291,49,1,0,0,0,0,0,0,0,0,0,0,-1,0,190171,1,2,1,2,11,9911,43,4,8,4663,34,37800,0,15,2,12,15848,7592,54.5,151,161,3,3,5,7,11,0,3,4,4,14,13,9,31,4,12,0,0,6,98,25,232617,20910,16700,23181,0,1
20000,20000,20000,1,0.1614,487.86,2,3,1,85000,2,4,4,1.93,1,2,9,2101,0.14,10,1,19781.14,19781.14,469.93,469.93,218.86,251.07,0,487.86,0,0,-1,0,2101,0,0,0,0,24,0,0,0,3,473,14,15540,0,0,1,3,233,1425,13,24,46,17,17,0,28,0,0,4,9,3,4,1,9,9,5,9,,0,0,90,0,15540,2101,5700,0,1,1
7200,7200,7200,0,0.234,280.22,4,8,1,20000,2,0,0,36.07,0,1,19,21929,0.345,24,0,7060.18,7060.18,261.5,261.5,139.82,121.68,0,280.22,0,0,-1,0,27293,1,2,1,1,10,5364,67,3,5,9920,38,63500,0,1,1,6,1436,29571,42.6,38,138,4,4,0,8,4,0,6,6,12,14,3,17,21,6,19,0,0,4,100,25,71500,27293,51500,8000,0,1
19500,19500,19500,0,0.1691,694.36,2,0,1,35000,1,0,0,32.78,0,2,5,919,0.148,10,0,19080.43,19080.43,648.56,648.56,419.57,228.99,0,694.36,0,0,-1,0,19673,1,2,0,1,14,18754,44,0,1,919,40,6200,2,0,2,3,3935,5281,14.8,56,83,15,3,0,15,0,0,1,1,2,4,4,2,5,1,5,0,0,1,100,0,49364,19673,6200,42459,1,1
30000,30000,30000,0,0.1691,1068.24,2,8,0,150000,1,0,0,25.96,0,0,16,89952,0.909,44,1,28699.92,28699.92,2094.2,2094.2,1300.08,794.12,0,1068.24,0,0,-1,0,565429,1,2,0,1,16,60164,,1,2,29481,91,114300,2,1,1,4,35339,23270,92.1,143,133,5,5,4,5,6,0,9,10,11,14,21,12,18,10,16,0,0,1,100,72.7,654606,164620,112800,82292,1,1
10000,10000,10000,0,0.1447,344.07,2,5,0,50000,0,0,0,10.71,1,1,11,20395,0.415,17,1,9550.33,9550.33,676.08,676.08,449.67,226.41,0,344.07,0,0,-1,0,246036,0,0,0,0,,0,,0,1,5168,42,49200,1,0,5,1,22367,19377,34.8,,232,17,17,5,56,0,0,4,8,4,4,0,8,12,8,11,0,0,0,94.1,0,309155,20395,29700,0,1,1
30000,30000,30000,1,0.2631,903.73,4,2,1,70000,1,0,0,39.16,0,0,19,24961,0.385,37,1,30000,30000,0,0,0,0,0,0,0,0,-1,0,80400,1,3,0,2,21,55439,65,2,2,9691,46,64900,2,0,0,4,4232,15816,55.8,146,211,6,6,0,6,21,0,9,14,10,13,8,16,29,14,19,0,0,2,97.3,10,142692,80400,35800,77792,1,1
24000,24000,24000,0,0.118,794.86,1,1,1,36500,2,1,1,13.12,0,2,14,22422,0.508,17,1,22876.78,22876.78,1566.12,1566.12,1123.22,442.9,0,794.86,0,0,-1,0,22422,0,0,0,0,28,0,,5,6,6455,51,44100,0,0,4,6,1602,20078,52.8,28,342,7,7,0,7,0,0,7,7,13,14,1,14,16,7,14,0,0,5,100,30.8,44100,22422,42500,0,1,1
1400,1400,1400,0,0.1992,51.98,3,1,1,40000,0,0,0,17.07,0,3,6,1446,0.254,6,0,1342.35,1342.35,116.64,116.64,57.65,43.99,15,51.98,0,0,-1,0,19202,2,2,1,1,5,17756,72,1,2,596,63,5700,3,0,3,3,3200,3742,25.2,27,48,3,3,0,3,1,0,3,4,3,3,2,4,4,4,6,0,0,2,83.3,0,30526,19202,5000,24826,1,1
5600,5600,5600,0,0.1691,199.41,2,10,1,55000,0,10,10,30.02,0,0,10,19149,0.863,15,1,5479.5,5479.5,191.52,191.52,120.5,71.02,0,199.41,0,0,-1,0,38262,0,4,0,1,24,19113,48,3,3,9711,62,22200,0,0,1,4,3826,1551,92.5,45,73,8,8,0,10,11,0,4,4,4,5,4,6,11,4,10,0,0,3,100,100,61750,38262,20700,39550,1,1
22400,22400,22400,1,0.1992,592.47,3,0,0,100000,0,0,0,15.22,2,0,12,15434,0.7,14,1,21955.08,21955.08,1147.76,1147.76,444.92,702.84,0,592.47,0,0,-1,0,434187,0,2,0,2,20,45679,82,0,2,4568,70,21900,0,0,0,4,36182,2833,63,207,295,19,19,1,19,19,0,3,9,3,4,3,9,10,7,12,,0,0,86,33.3,465239,61113,8500,55739,1,1
7000,7000,7000,0,0.1131,230.21,1,11,2,49212,2,0,0,10.95,0,0,10,15325,0.499,29,1,6669.98,6669.98,453.82,453.82,330.02,123.8,0,230.21,0,0,-1,0,136435,0,0,0,0,88,0,,1,3,8044,50,30700,3,0,4,3,13644,9789,52.5,123,443,9,9,6,17,6,4,4,6,4,10,3,8,19,6,10,0,0,1,86.2,50,165719,15325,20600,0,1,1
20000,20000,20000,0,0.2534,798.8,4,0,2,150000,1,3,3,17.94,0,2,27,30007,0.334,46,1,19581.04,19581.04,1270.64,1270.64,418.96,811.74,39.94,500,0,0,-1,0,171732,2,12,4,4,7,141725,95,3,5,10915,67,89800,2,0,8,9,6360,48793,38.1,122,121,3,3,0,3,0,0,5,5,12,17,25,15,21,5,27,0,0,7,93.5,25,243441,171732,78800,153641,1,1
2100,2100,2100,0,0.0702,64.87,0,1,0,30000,1,0,0,12,0,1,6,368,0.014,33,1,1994.52,1994.52,128.51,128.51,105.48,23.03,0,64.87,0,0,-1,0,232323,0,1,0,19,19,8572,55,1,2,310,22,26000,2,4,1,21,38721,20132,1.8,103,117,7,7,1,16,0,0,2,2,3,5,24,4,8,2,6,0,0,1,100,0,273248,8940,20500,15523,1,1
10000,10000,10000,1,0.1894,259.08,3,11,2,28158,1,0,0,28.9,0,2,20,16787,0.3,32,0,9795.91,9795.91,502.38,502.38,204.09,298.29,0,259.08,0,0,-1,0,23122,1,1,0,1,14,6335,85,2,5,2363,37,55900,0,3,2,6,1156,23216,16.5,89,210,6,6,0,14,6,4,5,9,6,9,2,19,30,9,20,0,0,2,90.3,16.7,63400,23122,27800,7500,1,1
9500,9500,9500,0,0.2631,384.34,4,5,1,50000,0,3,3,16.66,0,2,7,4523,0.082,18,0,9500,9500,0,0,0,0,0,0,0,0,-1,0,24070,1,1,1,2,4,19547,98,1,1,2082,44,34900,1,1,4,3,4012,30377,8.2,65,71,7,4,2,7,1,0,3,3,6,8,7,6,9,3,7,0,0,2,100,20,54900,24070,34900,20000,1,1
30000,30000,30000,0,0.1797,1084.13,3,10,0,160000,0,5,5,14.12,0,1,9,24762,0.904,22,1,28720.73,28720.73,2123.34,2123.34,1279.27,844.07,0,1084.13,0,0,-1,0,460490,1,3,2,3,5,65364,65,0,0,12499,74,27400,4,2,8,3,51166,481,97.9,266,251,59,5,4,59,0,1,2,3,2,2,14,4,4,3,9,0,0,2,90.9,100,530239,90126,22800,85975,1,1
10000,10000,10000,0,0.234,389.19,4,3,1,40000,0,0,0,16.98,0,0,15,13015,0.561,19,1,9607.83,9607.83,758.88,758.88,392.17,366.71,0,389.19,0,0,-1,0,13015,1,0,0,0,65,0,,3,6,1402,56,23200,2,0,7,6,868,927,80.3,65,46,5,5,0,12,5,0,4,13,4,5,1,15,18,13,15,0,0,3,100,75,23200,13015,4700,0,1,1
6000,6000,6000,0,0.0819,188.55,0,11,0,37000,1,1,1,13.43,0,2,9,4252,0.293,24,1,5703.79,5703.79,373,373,296.21,76.79,0,188.55,0,0,-1,0,88950,3,1,1,2,4,5265,40,2,3,2639,34,14500,3,0,5,6,9883,6848,38.3,145,239,5,4,1,5,4,0,2,2,5,12,6,7,17,2,9,0,0,4,100,0,107756,9517,11100,13256,0,1
7200,7200,7200,0,0.118,238.46,1,10,0,120000,0,4,4,22.58,0,0,14,37136,0.707,30,0,7032.34,7032.34,231.38,231.38,167.66,63.72,0,238.46,0,0,-1,175,383447,0,4,1,2,7,61540,80,0,1,11818,76,52500,1,7,4,3,29496,912,96.6,102,174,21,7,1,25,7,0,3,7,4,7,13,9,16,7,14,0,0,1,100,100,428985,98676,26600,76985,1,1
30000,30000,30000,1,0.118,664.31,1,10,0,230000,1,0,0,9.43,0,2,15,7390,0.12,30,1,29257.75,29257.75,1299.12,1299.12,742.25,556.87,0,664.31,0,0,-1,0,236918,1,3,1,4,10,78626,46,2,5,3872,26,61800,2,0,2,9,15795,32859,14.4,159,282,5,5,3,12,0,0,3,6,3,4,14,11,13,6,15,0,0,3,100,0,342230,86016,38400,114461,1,1
12000,12000,12000,1,0.1447,282.16,2,1,0,92500,1,3,3,34.92,0,0,16,46897,0.617,22,0,11723.42,11723.42,549.85,549.85,276.58,273.27,0,282.16,0,1,1,0,251704,1,4,2,2,7,58819,78,2,2,29430,67,76000,1,2,2,4,15732,11309,79.9,159,210,3,3,2,36,7,0,4,7,6,9,5,11,15,7,16,0,0,4,100,50,309039,105716,56300,76005,1,1
40000,40000,40000,0,0.0756,1245.36,0,6,1,112000,2,4,4,20.39,0,0,7,61,0.001,15,1,38007.02,38007.02,2465.52,2465.52,1992.98,472.54,0,1245.36,0,1,2,0,55582,0,3,1,3,12,55521,79,0,0,61,42,41500,0,0,0,3,7940,41439,0.1,108,139,35,12,0,59,,0,1,1,4,6,8,4,7,1,7,0,0,1,85.7,0,127929,55582,41500,86429,1,1
2500,2500,2500,0,0.1447,86.02,2,11,1,60000,1,0,0,7.34,0,1,6,3422,0.744,9,0,2387.58,2387.58,169.03,169.03,112.42,56.61,0,86.02,0,0,-1,0,11824,1,2,0,2,14,8402,80,1,1,1822,78,4600,6,1,5,3,1971,519,83.3,135,126,5,5,0,34,2,0,3,4,3,3,5,4,4,4,6,0,0,1,100,66.7,15099,11824,3100,10499,1,1
35000,35000,35000,1,0.1447,822.95,2,2,0,115000,1,0,0,10.04,0,1,5,9925,0.236,17,0,34193.35,34193.35,1603.7,1603.7,806.65,797.05,0,822.95,0,0,-1,0,142826,1,1,1,3,5,22619,91,0,0,7365,49,42000,4,0,6,4,28565,32075,23.6,148,265,68,5,4,68,5,2,2,2,3,6,6,3,7,2,5,0,0,2,88.2,0,178625,32544,42000,25000,1,1
20000,20000,20000,1,0.1894,518.16,3,2,2,75000,0,0,0,9.26,4,0,7,3975,0.795,16,1,19797.51,19797.51,486.59,486.59,202.49,284.1,0,518.16,0,0,-1,0,17790,1,5,0,0,52,13815,48,1,1,3975,52,5000,0,4,0,1,2541,1025,79.5,157,242,1,1,0,1,15,5,1,1,2,4,12,2,4,1,7,0,4,1,50,50,34050,17790,5000,29050,1,1
24000,24000,24000,1,0.2235,667.64,3,5,1,50000,1,1,1,35.67,0,1,12,11026,0.606,61,1,23554.61,23554.61,1290.58,1290.58,445.39,845.19,0,667.64,0,0,-1,0,302040,1,3,2,3,4,291014,91,0,0,5348,82,18200,2,2,4,3,25170,6086,59.7,261,283,29,4,0,29,2,0,5,8,6,6,49,9,12,8,12,0,0,2,94.6,50,307257,302040,15100,289057,1,1
12000,12000,12000,1,0.2235,333.82,3,5,0,100000,0,0,0,13.63,0,0,8,6270,0.518,12,1,11777.31,11777.31,645.29,645.29,222.69,422.6,0,333.82,0,0,-1,547,164439,2,2,1,3,1,30728,88,2,3,1268,79,12100,8,0,5,6,20555,1955,48.6,64,62,6,1,1,6,1,0,2,4,3,3,6,5,5,4,8,0,0,3,100,0,180663,36998,3800,35027,1,1
40000,40000,40000,1,0.1033,856.4,1,11,0,75000,0,4,4,18.21,0,0,5,137939,0.015,13,0,38971.46,38971.46,1678.37,1678.37,1028.54,649.83,0,856.4,0,1,0,0,974742,0,1,1,1,9,14503,91,0,1,89,66,156100,0,2,0,3,194948,6011,1.5,138,241,17,9,6,241,17,0,1,2,1,2,2,2,5,2,5,0,0,1,100,0,1073750,152442,6100,16000,1,1
8000,8000,8000,0,0.1691,284.87,2,10,1,40000,2,0,0,34.74,0,2,13,10183,0.32,20,1,7653.3,7653.3,558.47,558.47,346.7,211.77,0,284.87,0,0,-1,0,23322,1,3,3,3,9,13139,85,1,5,3252,32,32200,2,1,3,8,1794,3180,57,72,38,3,3,0,3,4,0,5,10,6,6,8,10,12,7,13,,0,4,100,60,47700,23322,15900,15500,1,1
25000,25000,25000,1,0.1447,587.82,2,10,0,80000,0,0,0,25.47,0,0,8,15334,0.426,28,1,24423.82,24423.82,1145.49,1145.49,576.18,569.31,0,587.82,0,0,-1,0,242121,1,4,2,5,5,44489,71,0,0,15321,61,36000,2,0,1,5,30265,20666,42.6,148,145,51,5,2,51,5,0,2,2,3,9,16,3,10,2,8,0,0,2,100,0,288738,59823,36000,62438,1,1
2400,2400,2400,0,0.1356,81.52,2,2,3,31000,0,0,0,34.61,1,0,7,283,0.035,17,0,2345.6,2345.6,78.81,78.81,54.4,24.41,0,81.52,0,0,-1,0,6884,0,3,0,0,26,6601,30,1,4,0,23,8100,0,0,2,4,983,800,0,44,72,12,12,0,24,8,0,0,1,1,7,3,4,14,1,7,0,0,1,94.1,0,30383,6884,800,22283,1,1
15000,15000,15000,0,0.1691,534.12,2,0,0,75000,0,0,0,9.14,0,0,6,16134,0.896,8,1,14349.96,14349.96,1047.1,1047.1,650.04,397.06,0,534.12,0,0,-1,0,17946,0,1,0,1,18,1812,70,0,0,5027,87,18000,0,0,0,1,2991,1866,89.6,18,83,26,18,0,26,22,0,5,5,5,7,1,5,7,5,6,0,0,0,100,100,20589,17946,18000,2589,1,1
40000,40000,40000,1,0.1072,864.13,1,5,1,68159,2,0,0,4.4,0,0,10,5505,0.258,10,1,38981.88,38981.88,1692.53,1692.53,1018.12,674.41,0,864.13,0,0,-1,0,5505,0,0,0,0,,0,,1,4,1284,26,21300,0,0,0,4,551,14036,25.7,,45,8,8,0,8,17,0,7,9,7,7,0,10,10,9,10,0,0,1,100,0,21300,5505,18900,0,1,1
32000,32000,32000,1,0.118,708.6,1,10,0,109000,0,0,0,24.85,1,0,24,40417,0.508,66,1,31208.26,31208.26,1385.73,1385.73,791.74,593.99,0,708.6,0,0,-1,0,484960,0,3,0,0,32,123004,56,0,0,6855,53,79600,0,2,0,0,20207,31182,56.2,171,156,31,31,3,31,,0,12,14,16,21,26,20,37,14,24,0,0,0,98.4,43.8,584679,163421,71200,132079,1,1
8175,8175,8175,0,0.2727,334.94,4,10,0,42996,0,0,0,32.15,0,0,13,17255,0.397,32,0,7873.28,7873.28,651.3,651.3,301.72,349.58,0,334.94,0,0,-1,0,133030,1,3,2,2,8,27884,60,4,5,0,50,43500,0,5,1,8,11086,,,136,261,2,2,3,160,8,0,0,6,1,5,11,9,18,6,13,0,0,6,100,,183637,45139,0,46637,1,1
6000,6000,6000,0,0.118,198.72,1,0,2,30000,0,0,0,1.68,0,0,3,1727,0.115,6,1,5860.28,5860.28,222.32,222.32,139.72,82.6,0,228.22,0,1,0,308,18300,0,1,0,0,162,16573,126,0,0,1317,65,15000,0,0,0,0,6100,13183,9.1,162,95,27,27,0,95,,0,1,2,1,1,3,2,3,2,3,0,0,0,100,0,28209,18300,14500,13209,1,1
2100,2100,2100,0,0.1992,77.96,3,11,0,18000,2,3,3,15.73,0,0,9,3256,0.346,12,0,2013.08,2013.08,150.11,150.11,86.92,63.19,0,77.96,1,0,-1,193,48604,1,1,1,1,9,1992,83,2,6,1329,45,9400,1,0,4,7,5400,2471,35,9,43,3,3,3,25,9,0,1,6,2,2,1,7,8,6,9,0,0,3,100,0,61800,5248,3800,2400,1,1
30000,30000,30000,0,0.1356,1018.93,2,10,1,85000,0,0,0,2.91,1,0,8,12533,0.249,21,1,29320.07,29320.07,962.43,962.43,679.93,282.5,0,1018.93,0,0,-1,506,12533,0,0,1,1,8,0,,2,5,7243,25,50300,0,7,0,6,1567,9630,46.8,150,162,7,7,2,7,22,0,2,4,3,4,4,8,15,4,8,0,0,3,95.2,0,50300,12533,18100,0,1,1
3000,3000,3000,0,0.1447,103.22,2,0,2,49500,1,4,4,0.61,0,2,2,270,0.008,4,0,2865.1,2865.1,200.41,200.41,134.9,65.51,0,103.22,0,0,-1,0,270,0,0,0,0,40,0,,0,0,270,1,34500,1,0,4,0,135,34230,0.8,40,241,60,40,0,227,0,0,1,1,2,3,1,2,3,1,2,0,0,0,100,0,34500,270,34500,0,1,1
9000,9000,9000,0,0.0646,275.68,0,10,0,113000,0,0,0,8.32,0,0,8,8345,0.354,17,1,8544.81,8544.81,546.52,546.52,455.19,91.33,0,275.68,0,0,-1,2054,338153,1,2,0,1,13,42471,97,1,2,6578,75,23600,0,0,3,4,42269,14884,31.7,180,194,11,4,4,16,5,1,2,3,4,4,7,5,6,3,8,0,0,2,82.4,0,355577,50816,21800,43974,0,1
7000,7000,7000,0,0.1033,226.96,1,10,1,90000,0,1,1,23.97,0,0,11,16318,0.642,21,1,6665.69,6665.69,462.89,462.89,334.31,113.58,15,241.96,0,0,-1,0,96847,1,6,0,3,15,80529,72,1,3,5915,70,25400,1,1,0,6,8804,7779,64.8,278,220,5,5,0,15,15,0,4,5,4,6,13,5,7,5,11,0,0,1,100,50,137772,96847,22100,112372,1,1
8500,8500,8500,0,0.0881,269.55,0,3,0,45000,0,0,0,16.64,0,0,9,3586,0.114,12,1,8084.19,8084.19,532.86,532.86,415.81,117.05,0,269.55,0,0,-1,0,286957,2,1,1,2,3,20440,98,3,3,1469,46,31400,1,1,2,6,31884,6771,23.9,20,72,5,3,2,50,3,0,2,4,2,3,2,7,8,4,9,0,0,5,100,50,318794,24026,8900,20894,1,1
